id,imdb_id,popularity,budget,revenue,original_title,runtime,genres,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj
135397,tt0369610,32.985763,150000000,1513528810,Jurassic World,124,Action|Adventure|Science Fiction|Thriller,6/9/15,5562,6.5,2015,137999939.3,1392445893
76341,tt1392190,28.419936,150000000,378436354,Mad Max: Fury Road,120,Action|Adventure|Science Fiction|Thriller,5/13/15,6185,7.1,2015,137999939.3,348161292.5
262500,tt2908446,13.112507,110000000,295238201,Insurgent,119,Adventure|Science Fiction|Thriller,3/18/15,2480,6.3,2015,101199955.5,271619025.4
140607,tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,136,Action|Adventure|Science Fiction|Fantasy,12/15/15,5292,7.5,2015,183999919,1902723130
168259,tt2820852,9.335014,190000000,1506249360,Furious 7,137,Action|Crime|Thriller,4/1/15,2947,7.3,2015,174799923.1,1385748801
281957,tt1663202,9.1107,135000000,532950503,The Revenant,156,Western|Drama|Adventure|Thriller,12/25/15,3929,7.2,2015,124199945.4,490314247
87101,tt1340138,8.654359,155000000,440603537,Terminator Genisys,125,Science Fiction|Action|Thriller|Adventure,6/23/15,2598,5.8,2015,142599937.3,405355075.7
286217,tt3659388,7.6674,108000000,595380321,The Martian,141,Drama|Adventure|Science Fiction,9/30/15,4572,7.6,2015,99359956.28,547749654.3
211672,tt2293640,7.404165,74000000,1156730962,Minions,91,Family|Animation|Adventure|Comedy,6/17/15,2893,6.5,2015,68079970.04,1064192017
150540,tt2096673,6.326804,175000000,853708609,Inside Out,94,Comedy|Animation|Family,6/9/15,3935,8,2015,160999929.2,785411574.7
206647,tt2379713,6.200282,245000000,880674609,Spectre,148,Action|Adventure|Crime,10/26/15,3254,6.2,2015,225399900.8,810220283.8
76757,tt1617661,6.189369,176000003,183987723,Jupiter Ascending,124,Science Fiction|Fantasy|Action|Adventure,2/4/15,1937,5.2,2015,161919931.5,169268630.7
264660,tt0470752,6.118847,15000000,36869414,Ex Machina,108,Drama|Science Fiction,1/21/15,2854,7.6,2015,13799993.93,33919845.96
257344,tt2120120,5.984995,88000000,243637091,Pixels,105,Action|Comedy|Science Fiction,7/16/15,1575,5.8,2015,80959964.38,224146025.1
99861,tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,Action|Adventure|Science Fiction,4/22/15,4304,7.4,2015,257599886.7,1292632337
273248,tt3460252,5.8984,44000000,155760117,The Hateful Eight,167,Crime|Drama|Mystery|Western,12/25/15,2389,7.4,2015,40479982.19,143299244.6
260346,tt2446042,5.749758,48000000,325771424,Taken 3,109,Crime|Action|Thriller,1/1/15,1578,6.1,2015,44159980.57,299709578.2
102899,tt0478970,5.573184,130000000,518602163,Ant-Man,115,Science Fiction|Action|Adventure,7/14/15,3779,7,2015,119599947.4,477113780
150689,tt1661199,5.556818,95000000,542351353,Cinderella,112,Romance|Fantasy|Family|Drama,3/12/15,1495,6.8,2015,87399961.54,498963025.2
131634,tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,136,War|Adventure|Science Fiction,11/18/15,2380,6.5,2015,147199935.2,598481289.5
158852,tt1964418,5.462138,190000000,209035668,Tomorrowland,130,Action|Family|Science Fiction|Adventure|Mystery,5/19/15,1899,6.2,2015,174799923.1,192312729.9
307081,tt1798684,5.337064,30000000,91709827,Southpaw,123,Action|Drama,6/15/15,1386,7.3,2015,27599987.86,84373003.72
254128,tt2126355,4.907832,110000000,470490832,San Andreas,114,Action|Drama|Thriller,5/27/15,2060,6.1,2015,101199955.5,432851375
216015,tt2322441,4.710402,40000000,569651467,Fifty Shades of Grey,125,Drama|Romance,2/11/15,1865,5.3,2015,36799983.81,524079119
